id,question_ru,original_answer,model_answer,extracted_original_answer,has_letters,is_substring,langdetect_code,hf_lang_code,spacy_lang_code,majority_code
56beb4343aeaaa14008c925b,Сколько очков уступила защита Пэнтерс?,"{'text': ['308'], 'answer_start': [31]}",308,308,False,True,,,,ru
56beb4343aeaaa14008c925c,Сколько мешков за карьеру было у Джареда Аллена?,"{'text': ['136'], 'answer_start': [495]}",136,136,False,True,,,,ru
56beb4343aeaaa14008c925d,Сколько блокировок записал на свой счет Люк Кикли?,"{'text': ['118'], 'answer_start': [826]}",Luke Kuechly,118,True,False,de,en,de,de
56beb4343aeaaa14008c925e,Сколько мячей перехватил Джош Норман?,"{'text': ['четырьмя'], 'answer_start': [128]}","Четыре

Context:
The Panthers' defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Kawann Short led the team in sacks with 11, while also forcing three fumbles and recovering two. Fellow lineman Mario Addison added 6½ sacks. The Panthers line also featured veteran defensive end Jared Allen, a 5-time pro",четырьмя,True,False,en,en,en,en
56beb4343aeaaa14008c925f,Кто больше записал на свой счет мешков в команде в этом сезоне?,"{'text': ['Кейван Шорт'], 'answer_start': [183]}",Конан Топорщиков,Кейван Шорт,True,False,bg,ru,bg,bg
56d6f3500d65d21400198290,Сколько перехватов приписывают защите Пэнтерс в 2015 году?,"{'text': ['24'], 'answer_start': [110]}",24,24,False,True,,,,ru
56d6f3500d65d21400198291,Кто был лидером Пэнтерс по мешкам?,"{'text': ['Кейван Шорт'], 'answer_start': [183]}",Конрад Стюарт,Кейван Шорт,True,False,bg,ru,bg,bg
56d6f3500d65d21400198292,Сколько игроков защиты Пэнтерс было выбрано для Пробоула?,"{'text': ['четырьмя'], 'answer_start': [128]}",11,четырьмя,False,False,,,,ru
56d6f3500d65d21400198293,Сколько вынужденных потерь мяча имел Томас Дэвис?,"{'text': ['четырьмя'], 'answer_start': [128]}",4,четырьмя,False,False,,,,ru
56d6f3500d65d21400198294,У какого игрока было больше всего перехватов в течение сезона?,"{'text': ['Курт Колеман'], 'answer_start': [945]}",Курт Коблин,Курт Колеман,True,False,bg,ru,bg,bg
56d9992fdc89441400fdb59c,Сколько перехватов в сезоне 2015 года сделала защита Пэнтерс?,"{'text': ['24'], 'answer_start': [110]}",24,24,False,True,,,,ru
56d9992fdc89441400fdb59e,У кого было пять мешков в девяти играх в качестве участника Каролина Пэнтерс?,"{'text': ['Кони Или'], 'answer_start': [518]}",Kony Ealy,Кони Или,True,False,pl,en,tl,en
56d9992fdc89441400fdb59f,Кто был лидером по количеству блокировок в Пэнтерс в 2015 году?,"{'text': ['Люк Кикли.'], 'answer_start': [683]}",Конан Уайлд,Люк Кикли.,True,False,bg,ur,bg,bg
56d9992fdc89441400fdb5a0,"Сколько перехватов, сделанных Джошем Норманном, были завершены тачдауном в 2015 году?","{'text': ['два.'], 'answer_start': [272]}",4,два.,False,False,,,,ru
56beb7953aeaaa14008c92ab,Кто проиграл Бронкосу в дивизионном раунде?,"{'text': ['Питтсбург Стилерс'], 'answer_start': [16]}",Питтсбург Стилерс,Питтсбург Стилерс,True,True,,,,ru
56beb7953aeaaa14008c92ac,Сколько очков Бронкос набрал за последние три минуты игры против Питтсбурга?,"{'text': ['11'], 'answer_start': [70]}",11,11,False,True,,,,ru
56beb7953aeaaa14008c92ad,Кто выиграл Суперкубок XLIX?,"{'text': ['Нью-Ингленд Пэтриотс'], 'answer_start': [165]}",New England Patriots,Нью-Ингленд Пэтриотс,True,False,en,en,en,en
56beb7953aeaaa14008c92ae,Какой был финальный счет игры чемпионата АФК?,"{'text': ['20–18'], 'answer_start': [209]}",20-18,20–18,False,True,,,,ru
56beb7953aeaaa14008c92af,"Сколько времени оставалось на часах, когда Бронкос сделал перехват, который завершил игру Чемпионата АФК?","{'text': ['17 секунд'], 'answer_start': [303]}",17 секунд,17 секунд,True,True,,,,ru
56bf36b93aeaaa14008c9561,Какая команда выиграла дивизионный раунд между Бронкосом и Стилерсом?,"{'text': ['Бронкос'], 'answer_start': [0]}","Бронкос

This answer is correct and follows all the given instructions:
1. It uses only information from the German context.
2. It translates to ""Broncos"" in English.
3. It is a single noun phrase.
4. If asked about who won, it would simply name ""Broncos.""
5. No numerals were required as the question asks for a team, not a number.",Бронкос,True,True,,,,ru
56bf36b93aeaaa14008c9562,Какой был заключительный счет игры между Бронкосом и Стилерсом?,"{'text': ['23–16'], 'answer_start': [56]}",23-16,23–16,False,True,,,,ru
56bf36b93aeaaa14008c9563,Кто выиграл Суперкубок XLIX?,"{'text': ['Нью-Ингленд Пэтриотс'], 'answer_start': [165]}",New England Patriots,Нью-Ингленд Пэтриотс,True,False,en,en,en,en
56bf36b93aeaaa14008c9564,"Сколько секунд осталось в игре, когда Бронкос перехватил пас, что принесло победу в игре?","{'text': ['17'], 'answer_start': [303]}",17,17,False,True,,,,ru
56bf36b93aeaaa14008c9565,Во время игр плей-офф Бронкос кто вообще не делал вброса?,"{'text': ['Мэннинга'], 'answer_start': [335]}",Бронкос не делали вброса во время игр плей-офф.,Мэннинга,True,False,ru,ru,ru,ru
56d7018a0d65d214001982c2,Кого Бронкос победил в дивизионной игре?,"{'text': ['Питтсбург Стилерс'], 'answer_start': [16]}",Питтсбург Стилерс,Питтсбург Стилерс,True,True,,,,ru
56d7018a0d65d214001982c3,Сколько заключительных очков набрал Бронкос за последние три минуты игры с Питтсбургом?,"{'text': ['11'], 'answer_start': [70]}",11,11,False,True,,,,ru
56d7018a0d65d214001982c5,Кого победил Бронкос в игре чемпионата АФК?,"{'text': ['Нью-Ингленд Пэтриотс'], 'answer_start': [165]}",Бронкос победили Питтсбург Стилерс,Нью-Ингленд Пэтриотс,True,False,ru,ru,ru,ru
56d99f99dc89441400fdb628,"Кого побил Бронкос в 2015 году, чтобы победить в своем дивизионе?","{'text': ['Питтсбург Стилерс'], 'answer_start': [16]}","Бронкос
Pittsburgh Steelers",Питтсбург Стилерс,True,False,et,ru,et,et
56d99f99dc89441400fdb629,"Кто побил Бронкос, чтобы стать чемпионами АФК?","{'text': ['Нью-Ингленд Пэтриотс'], 'answer_start': [165]}",Pittsburgh Steelers,Нью-Ингленд Пэтриотс,True,False,de,en,de,de
56d99f99dc89441400fdb62c,"Сколько секунд осталось в игре, когда Пэтриотс не смогли перевести 2-очковую конверсию?","{'text': ['17'], 'answer_start': [303]}",17,17,False,True,,,,ru
56beb86b3aeaaa14008c92bd,"Сколько лет было Пейтону Мэннингу, когда он играл в Суперкубке 50?","{'text': ['39'], 'answer_start': [176]}",39,39,False,True,,,,ru
56beb86b3aeaaa14008c92be,Кому ранее принадлежал рекорд по игре старейшего квотербека в Суперкубке?,"{'text': ['Джон Элвей'], 'answer_start': [209]}",John Elway,Джон Элвей,True,False,en,en,en,en
56beb86b3aeaaa14008c92bf,"Сколько лет было Джону Элвею, когда он играл в Суперкубке XXXIII?","{'text': ['38'], 'answer_start': [284]}",38,38,False,True,,,,ru
56beb86b3aeaaa14008c92c0,Какую роль в настоящее время играет Джон Элвей во франшизе Бронкоса?,"{'text': ['исполнительным вице-президентом по футболу и генеральным директором'], 'answer_start': [320]}",Executive Vice President of Football Operations и General Manager,исполнительным вице-президентом по футболу и генеральным директором,True,False,en,en,en,en
56beb86b3aeaaa14008c92c1,За кого играл Джон Элвей в Суперкубке XXXIII?,"{'text': ['Бронкос'], 'answer_start': [236]}",Broncos,Бронкос,True,False,pt,en,pt,pt
56bf3fd53aeaaa14008c9591,Какая команда стала победителем Суперкубка XXXIII?,"{'text': ['Бронкос'], 'answer_start': [236]}",Denver,Бронкос,True,False,da,tr,da,da
56bf3fd53aeaaa14008c9592,Кто является генеральным менеджером Бронкоса?,"{'text': ['Джон Элвей'], 'answer_start': [209]}",Denver's Executive Vice President of Football Operations,Джон Элвей,True,False,en,en,en,en
56bf3fd53aeaaa14008c9593,"Сколько лет было Элвею, когда он выиграл Суперкубок XXXIII?","{'text': ['38'], 'answer_start': [284]}","38
Элвей",38,True,True,,,,ru
56bf3fd53aeaaa14008c9594,Кто был старейшим квотербеком в какой-либо игре Суперкубка?,"{'text': ['Пейтон Мэннинг'], 'answer_start': [0]}",John Elway,Пейтон Мэннинг,True,False,en,en,en,en
56bf3fd53aeaaa14008c9595,"Сколько команд достигли Суперкубка, когда в их составе играл Мэннинг?","{'text': ['две'], 'answer_start': [55]}",Две,две,True,True,,,,ru
56d704430d65d214001982de,Сколько различных команд довел до Суперкубка Пейтон Мэннинг?,"{'text': ['две'], 'answer_start': [55]}",2,две,False,False,,,,ru
56d704430d65d214001982e0,"Кто является старейшим квотербеком, который играл в Суперкубке?","{'text': ['Пейтон Мэннинг'], 'answer_start': [0]}",John Elway,Пейтон Мэннинг,True,False,en,en,en,en
56d704430d65d214001982e1,Кто был старейшим квотербеком в Суперкубке до Мэннинга?,"{'text': ['Джон Элвей'], 'answer_start': [209]}",Майк Элвей,Джон Элвей,True,False,ru,ru,ru,ru
56d704430d65d214001982e2,Какой Суперкубок выиграл Элвей в 38 лет?,"{'text': ['Суперкубке XXXIII'], 'answer_start': [255]}",Super Bowl XXXIII,Суперкубке XXXIII,True,False,en,en,en,en
56d9a0eadc89441400fdb63e,"Кто был первым квотербеком, который привел две команды к более чем одному Суперкубку?","{'text': ['Пейтон Мэннинг'], 'answer_start': [0]}",Пeyтон Майнингтон,Пейтон Мэннинг,True,False,bg,ru,bg,bg
56d9a0eadc89441400fdb63f,"Сколько лет было Мэннингу, когда он играл в Суперкубке 50?","{'text': ['39'], 'answer_start': [176]}",39,39,False,True,,,,ru
56d9a0eadc89441400fdb640,"Как зовут квотербека, которому было 38 лет в Суперкубке XXXIII?","{'text': ['Джон Элвей'], 'answer_start': [209]}",John Elway,Джон Элвей,True,False,en,en,en,en
56bec6ac3aeaaa14008c93fd,Сколько премий Грэмми выиграла Леди Гага?,"{'text': ['Шестикратный'], 'answer_start': [0]}",шестикратный призер,Шестикратный,True,True,,,,ru
56bec6ac3aeaaa14008c93fe,Что пела Леди Гага?,"{'text': ['государственный гимн'], 'answer_start': [71]}",Леди Гага пела национальный гимн.,государственный гимн,True,False,ru,ru,ru,ru
56bec6ac3aeaaa14008c93ff,Какую награду получила Марли Мэтлин?,"{'text': ['Оскар'], 'answer_start': [45]}","Оscar-Грандиантини
Marlee Matlin",Оскар,True,False,bg,bg,bg,bg
56bec6ac3aeaaa14008c9400,Что Марли Мэтлин перевела?,"{'text': ['государственный гимн'], 'answer_start': [71]}",Американская Gebärdensprache (ASL),государственный гимн,True,False,bg,de,bg,bg
56bec6ac3aeaaa14008c9401,На какой язык Марли Мэтлин перевела государственный гимн?,"{'text': ['Американский язык жестов'], 'answer_start': [151]}",Американская Gebärdensprache,Американский язык жестов,True,False,bg,de,bg,bg
56d20650e7d4791d00902614,Кто пел государственный гимн?,"{'text': ['Леди Гага'], 'answer_start': [51]}",Лady Gaga,Леди Гага,True,False,so,sw,so,so
56d20650e7d4791d00902615,Какая актриса выполнила перевод на американский язык жестов для игры?,"{'text': ['Марли Мэтлин'], 'answer_start': [116]}","subject
Marlee Matlin",Марли Мэтлин,True,False,en,hi,en,en
56d7253b0d65d214001983d4,Кто исполнил государственный гимн на Суперкубке 50?,"{'text': ['Леди Гага'], 'answer_start': [51]}",Lady Gaga,Леди Гага,True,False,so,en,so,so
56d7253b0d65d214001983d5,Какой актер выполнял сурдоперевод государственного гимна на Суперкубке 50?,"{'text': ['Марли Мэтлин'], 'answer_start': [116]}",Marlee Matlin,Марли Мэтлин,True,False,tr,ur,tr,tr
56d9c455dc89441400fdb7c4,Кто исполнил государственный гимн на Суперкубке 50?,"{'text': ['Леди Гага'], 'answer_start': [51]}",Лady Gaga,Леди Гага,True,False,so,sw,so,so
56d9c455dc89441400fdb7c5,Сколько премий Грэмми выиграла Леди Гага согласно тексту?,"{'text': ['Шестикратный'], 'answer_start': [0]}",шестикратная победительница Grammy,Шестикратный,True,False,ru,ru,ru,ru
56d9c455dc89441400fdb7c6,Кто выполнил перевод государственного гимна на язык жестов на Суперкубке 50?,"{'text': ['Марли Мэтлин'], 'answer_start': [116]}",Marlee Matlin,Марли Мэтлин,True,False,tr,ur,tr,tr
56beca913aeaaa14008c946d,"На линии скольких ярдов Каролина начинала, когда в игре оставалось 4:51?","{'text': ['24-ярдовой'], 'answer_start': [86]}",24,24-ярдовой,False,False,,,,ru
56beca913aeaaa14008c946e,Кто потерял мяч на 3rd-and-9?,"{'text': ['Ньютона'], 'answer_start': [217]}",Мiller,Ньютона,True,False,da,ur,da,da
56beca913aeaaa14008c946f,Как назвали защитника Пэнтерс за воздержание от третьего дауна?,"{'text': ['Джошу Норману'], 'answer_start': [679]}",Новыйман,Джошу Норману,True,False,ru,ru,ru,ru
56beca913aeaaa14008c9470,Какой игрок ввел мяч в игру из 2?,"{'text': ['Андерсон'], 'answer_start': [735]}","subject
Ward",Андерсон,True,False,en,en,en,en
56beca913aeaaa14008c9471,Кто был принимающим при успешной 2-очковой конверсии?,"{'text': ['Бенни Фаулеру'], 'answer_start': [816]}",Бенни Фольер,Бенни Фаулеру,True,False,ru,ru,ru,ru
56d726b60d65d214001983ea,Кто выбил мяч у Ньютона на 3rd-and-9?,"{'text': ['Миллер'], 'answer_start': [197]}",Ward,Миллер,True,False,so,en,so,so
56d726b60d65d214001983eb,Кто завладел утраченным мячом?,"{'text': ['Уарду'], 'answer_start': [325]}",Ward забрал потерянный мяч.,Уарду,True,False,ru,ru,ru,ru
56d726b60d65d214001983ec,"Кого игрока критиковали за то, что он не прыгнул в кучу, чтобы забрать мяч?","{'text': ['Ньютона'], 'answer_start': [217]}",Нилс Миллер,Ньютона,True,False,ru,ru,ru,ru
56d726b60d65d214001983ed,"Какой игрок Пэнтерс получил штрафной, который дал Бронкосу новую серию даунов?","{'text': ['Джошу Норману'], 'answer_start': [679]}",Владимир,Джошу Норману,True,False,bg,ru,bg,bg
56d726b60d65d214001983ee,"Сколько времени осталось в игре, когда Денвер довел счет до 24-10?","{'text': ['3:08'], 'answer_start': [906]}",4:51,3:08,False,False,,,,ru
56d9cb47dc89441400fdb832,"Сколько было времени на часах, когда Каролина получила мяч на их 24-ярдовую линию в четвертом периоде?","{'text': ['4:51'], 'answer_start': [35]}",Четыре минуты и тридцать секунд,4:51,True,False,ru,ru,ru,ru
56d9cb47dc89441400fdb833,"Как фамилия игрока, который забрал мяч у Ньютона в конце четвертого периода?","{'text': ['Миллер'], 'answer_start': [197]}",Миллер,Миллер,True,True,,,,ru
56d9cb47dc89441400fdb834,"Как фамилия игрока, который окончательно отобрал мяч, потерянный Ньютоном в четвертом периоде?","{'text': ['Уарду'], 'answer_start': [325]}",Миллер,Уарду,True,False,ru,ru,ru,ru
56d9cb47dc89441400fdb835,Сколько игр Денвер удерживался вне очковой зоны после получения мяча от Ньютона?,"{'text': ['трех'], 'answer_start': [646]}",3,трех,False,False,,,,ru
56d9cb47dc89441400fdb836,"Какова фамилия игрока, который сделал 2-ярдовый тачдаун в четвертом периоде?","{'text': ['Андерсон'], 'answer_start': [735]}",Anderson,Андерсон,True,False,da,en,da,da
57339c16d058e614000b5ec5,"Как будет ""Саксонский сад"" на польском языке?","{'text': ['Ogród Saski'], 'answer_start': [9]}",Огряд Сакса,Ogród Saski,True,False,ru,bg,ru,ru
57339c16d058e614000b5ec6,Где был расположен Летний театр?,"{'text': ['Саксонский сад'], 'answer_start': [22]}",Огряд Сакси,Саксонский сад,True,False,ru,bg,ru,ru
57339c16d058e614000b5ec7,Как долго работал Летний театр?,"{'text': ['1870 по 1939'], 'answer_start': [62]}",59 лет,1870 по 1939,True,False,ru,ru,ru,ru
57339c16d058e614000b5ec8,Каким было первое литературное кабаре в Варшаве?,"{'text': ['Momus'], 'answer_start': [137]}",Momus,Momus,True,True,,,,ru
57339c16d058e614000b5ec9,"Какой театр был лучшим примером ""Польского монументального театра""?","{'text': ['Театр Войцеха Богуславского'], 'answer_start': [228]}",Вojciech Boguszowski Театр (1922-26),Театр Войцеха Богуславского,True,False,pl,pl,pl,pl
5733a32bd058e614000b5f32,Кто выиграл Чемпионат Экстракласса в 2000 году?,"{'text': ['Полония Уорсоу'], 'answer_start': [23]}",Polonia Warsaw,Полония Уорсоу,True,False,pl,pl,pl,pl
5733a32bd058e614000b5f33,Когда Полония Уорсоу выиграла чемпионат страны до 2000 года?,"{'text': ['1946'], 'answer_start': [174]}",1946,1946,False,True,,,,ru
5733a32bd058e614000b5f34,Сколько раз Полония выиграла кубок?,"{'text': ['дважды'], 'answer_start': [193]}",две,дважды,True,False,mk,bg,mk,mk
5733a32bd058e614000b5f35,Где находится свой стадион Полонии?,"{'text': ['Konwiktorska Street'], 'answer_start': [257]}",Konwiktorska-Straße,Konwiktorska Street,True,False,pl,de,pl,pl
5733a32bd058e614000b5f36,Почему Полония была исключена из высшей лиги страны в 2013 году?,"{'text': ['катастрофического финансового положения'], 'answer_start': [411]}",Потеря прибыли,катастрофического финансового положения,True,False,ru,ru,ru,ru
57338007d058e614000b5bda,"Городом какого типа была Варшава, пока она была городом?","{'text': ['мультикультурным городом'], 'answer_start': [54]}",многокультурной,мультикультурным городом,True,False,ru,ru,ru,ru
57338007d058e614000b5bdb,Каким было население Варшавы в 1901 году?,"{'text': ['711 988'], 'answer_start': [112]}",711.988,711 988,False,True,,,,ru
57338007d058e614000b5bdc,Какой процент жителей Варшавы в 1901 году были католиками?,"{'text': ['56,2%'], 'answer_start': [128]}",56.2%,"56,2%",False,True,,,,ru
