Subject,Accuracy,Total Examples,Correct Examples
Overall,0.4262948207171315,251,107
id,0.0,1,0
college_physics,0.0,5,0
anatomy,0.0,2,0
high_school_statistics,0.6,5,3
miscellaneous,0.5555555555555556,9,5
prehistory,0.8571428571428571,7,6
security_studies,0.6,5,3
conceptual_physics,0.6666666666666666,3,2
marketing,0.8571428571428571,7,6
professional_law,0.2857142857142857,21,6
jurisprudence,0.5,4,2
moral_scenarios,0.2,15,3
public_relations,0.5,4,2
management,0.0,2,0
professional_psychology,0.2727272727272727,11,3
high_school_psychology,0.4166666666666667,12,5
high_school_us_history,0.5,4,2
us_foreign_policy,1.0,3,3
business_ethics,0.5,2,1
high_school_european_history,0.75,4,3
high_school_chemistry,0.3333333333333333,6,2
high_school_macroeconomics,0.14285714285714285,7,1
moral_disputes,0.3333333333333333,6,2
high_school_computer_science,1.0,2,2
professional_medicine,0.2857142857142857,7,2
elementary_mathematics,0.3333333333333333,6,2
high_school_mathematics,0.5,2,1
virology,0.0,2,0
college_biology,1.0,4,4
sociology,0.6,5,3
high_school_government_and_politics,0.5,2,1
human_aging,0.3333333333333333,3,1
nutrition,0.25,4,1
college_medicine,0.5,4,2
philosophy,0.75,8,6
machine_learning,0.0,3,0
world_religions,0.5,4,2
electrical_engineering,0.5,6,3
medical_genetics,0.0,2,0
high_school_world_history,0.6666666666666666,3,2
high_school_physics,1.0,2,2
high_school_geography,0.0,1,0
astronomy,0.0,2,0
college_computer_science,0.3333333333333333,3,1
global_facts,1.0,1,1
human_sexuality,1.0,2,2
high_school_biology,0.6666666666666666,3,2
logical_fallacies,1.0,3,3
high_school_microeconomics,0.25,4,1
college_chemistry,1.0,1,1
professional_accounting,0.0,7,0
international_law,0.0,1,0
clinical_knowledge,0.5,4,2
formal_logic,0.0,3,0
abstract_algebra,0.0,2,0
