Subject,Accuracy,Total Examples,Correct Examples
Overall,0.4103585657370518,251,103
id,0.0,1,0
college_physics,0.2,5,1
anatomy,0.0,2,0
high_school_statistics,0.6,5,3
miscellaneous,0.7777777777777778,9,7
prehistory,0.7142857142857143,7,5
security_studies,0.6,5,3
conceptual_physics,1.0,3,3
marketing,0.7142857142857143,7,5
professional_law,0.23809523809523808,21,5
jurisprudence,0.5,4,2
moral_scenarios,0.06666666666666667,15,1
public_relations,0.25,4,1
management,0.0,2,0
professional_psychology,0.2727272727272727,11,3
high_school_psychology,0.4166666666666667,12,5
high_school_us_history,0.5,4,2
us_foreign_policy,1.0,3,3
business_ethics,0.5,2,1
high_school_european_history,0.75,4,3
high_school_chemistry,0.3333333333333333,6,2
high_school_macroeconomics,0.2857142857142857,7,2
moral_disputes,0.3333333333333333,6,2
high_school_computer_science,1.0,2,2
professional_medicine,0.2857142857142857,7,2
elementary_mathematics,0.8333333333333334,6,5
high_school_mathematics,0.0,2,0
virology,0.5,2,1
college_biology,0.75,4,3
sociology,0.2,5,1
high_school_government_and_politics,0.5,2,1
human_aging,0.0,3,0
nutrition,0.0,4,0
college_medicine,0.5,4,2
philosophy,0.5,8,4
machine_learning,0.0,3,0
world_religions,0.5,4,2
electrical_engineering,0.3333333333333333,6,2
medical_genetics,0.5,2,1
high_school_world_history,0.6666666666666666,3,2
high_school_physics,0.5,2,1
high_school_geography,0.0,1,0
astronomy,0.5,2,1
college_computer_science,0.6666666666666666,3,2
global_facts,1.0,1,1
human_sexuality,1.0,2,2
high_school_biology,0.6666666666666666,3,2
logical_fallacies,1.0,3,3
high_school_microeconomics,0.25,4,1
college_chemistry,1.0,1,1
professional_accounting,0.0,7,0
international_law,0.0,1,0
clinical_knowledge,0.5,4,2
formal_logic,0.0,3,0
abstract_algebra,0.0,2,0
