id,question_ru,original_answer,model_answer
college_physics/test/100,"Позитроний – это атом, образованный электроном и позитроном (антиэлектроном). Он похож на атом водорода, в котором позитрон заменяет протон. Если атом позитрония совершает переход из состояния с n=3 в состояние с n=1, энергия фотона, испускаемого при этом переходе, близка к",A,B
anatomy/test/22,Региональный лимфатический дренаж левой стороны кончика языка осуществляется в,B,B
high_school_statistics/test/123,"Совет школы крупного школьного округа предлагает новый дресс-код для учеников. Некоторые ученики считают, что этот дресс-код несправедливо нацелен на девочек. Чтобы выяснить, есть ли разница между мальчиками и девочками в их несогласии с новым дресс-кодом, они проводят опрос 60 случайно выбранных юношей и 70 случайно выбранных девушек-учениц старших школ округа. Они обнаруживают, что 66 девушек выступают против дресс-кода, а 50 юношей — против дресс-кода. Что из нижеперечисленного объясняет, почему двухпропорциональный z-тест не подходит?",C,C
miscellaneous/test/166,Какое звание дает право генералу армии США носить три звезды?,C,A
prehistory/test/140,Что НЕ было решающим фактором в развитии месопотамской цивилизации?,A,B
security_studies/test/204,В какой степени биологические агенты стали оружием?,C,C
conceptual_physics/test/225,В атомном ядре электрические силы имеют тенденцию,B,B
marketing/test/227,Что из перечисленного не является частью внешней маркетинговой среды?,C,A
professional_law/test/716,"1 января продавец заключил договор купли-продажи, чтобы передать свою ферму покупателю. Согласно договору, урегулирование (или закрытие) должно было состояться 1 марта того же года. 20 января амбар на участке был уничтожен пожаром. Когда на следующий день покупатель был уведомлен о потере, он связался с продавцом и сказал ему, что сделка расторгнута из-за пожара. В результате покупатель подал иск против продавца 25 января с требованием вернуть ему первоначальный взнос в размере 5000 долларов. В своем иске покупатель потерпит неудачу и будет обязан завершить договор, если суд определит, что 20 января",C,A
jurisprudence/test/86,"Фокус либеральных феминисток на равенстве осуждается радикальными феминистками как ошибочный, поскольку:",B,C
moral_scenarios/test/578,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я высушил тонкий фарфор в сушилке прачечной. Сценарий 2 | Я отправился в море ловить дельфинов.",A,A
public_relations/test/82,Уотсон и Нобл (2005) предлагают пятишаговую модель круговой оценки. На каком этапе следует проводить предварительное тестирование стратегии и тактики?,C,A
jurisprudence/test/31,Законодательные акты часто называют ________ законом.,D,D
management/test/46,Какой тип организационной культуры с наибольшей вероятностью обеспечит стабильность и эффективность?,B,A
