id,question_en,original_answer,model_answer,extracted_original_answer,has_letters,is_substring,langdetect_code,hf_lang_code,spacy_lang_code,majority_code
56beb4343aeaaa14008c925b,How many points did the Panthers defense surrender?,"{'text': ['308'], 'answer_start': [34]}",308,308,False,True,,,,en
56beb4343aeaaa14008c925c,How many career sacks did Jared Allen have?,"{'text': ['136'], 'answer_start': [470]}",136,136,False,True,,,,en
56beb4343aeaaa14008c925d,How many tackles did Luke Kuechly register?,"{'text': ['118'], 'answer_start': [789]}",Luke Kuechly registered 118 tackles.,118,True,True,,,,en
56beb4343aeaaa14008c925e,How many balls did Josh Norman intercept?,"{'text': ['four'], 'answer_start': [140]}",two,four,True,False,pl,en,pl,pl
56beb4343aeaaa14008c925f,Who registered the most sacks on the team this season?,"{'text': ['Kawann Short'], 'answer_start': [192]}",Kawann Short,Kawann Short,True,True,,,,en
56d6f3500d65d21400198290,How many interceptions are the Panthers defense credited with in 2015?,"{'text': ['24'], 'answer_start': [124]}",24,24,False,True,,,,en
56d6f3500d65d21400198291,Who led the Panthers in sacks?,"{'text': ['Kawann Short'], 'answer_start': [192]}",Kawann Short,Kawann Short,True,True,,,,en
56d6f3500d65d21400198292,How many Panthers defense players were selected for the Pro Bowl?,"{'text': ['four'], 'answer_start': [140]}",Four,four,True,True,,,,en
56d6f3500d65d21400198293,How many forced fumbles did Thomas Davis have?,"{'text': ['four'], 'answer_start': [140]}",Four,four,True,True,,,,en
56d6f3500d65d21400198294,Which player had the most interceptions for the season?,"{'text': ['Kurt Coleman'], 'answer_start': [900]}",Kurt Coleman,Kurt Coleman,True,True,,,,en
56d9992fdc89441400fdb59c,How many 2015 season interceptions did the Panthers' defense get?,"{'text': ['24'], 'answer_start': [124]}",Pro Bowl Interceptions,24,True,False,en,en,en,en
56d9992fdc89441400fdb59e,Who had five sacks in nine games as a Carolina Panthers starter?,"{'text': ['Kony Ealy'], 'answer_start': [500]}",Kony Ealy,Kony Ealy,True,True,,,,en
56d9992fdc89441400fdb59f,Who was the Panthers' tackle leader for 2015?,"{'text': ['Luke Kuechly.'], 'answer_start': [666]}",Kawann Short,Luke Kuechly.,True,False,id,sw,id,id
56d9992fdc89441400fdb5a0,How many interceptions did Josh Norman score touchdowns with in 2015?,"{'text': ['two.'], 'answer_start': [284]}",two,two.,True,True,,,,en
56beb7953aeaaa14008c92ab,Who lost to the Broncos in the divisional round?,"{'text': ['Pittsburgh Steelers'], 'answer_start': [25]}",Pittsburgh Steelers,Pittsburgh Steelers,True,True,,,,en
56beb7953aeaaa14008c92ac,How many points did the Broncos score in the last three minutes of the game versus Pittsburgh?,"{'text': ['11'], 'answer_start': [88]}",11,11,False,True,,,,en
56beb7953aeaaa14008c92ad,Who won Super Bowl XLIX?,"{'text': ['New England Patriots'], 'answer_start': [192]}",New England Patriots,New England Patriots,True,True,,,,en
56beb7953aeaaa14008c92ae,What was the final score of the AFC Championship Game?,"{'text': ['20–18'], 'answer_start': [243]}",20–18,20–18,False,True,,,,en
56beb7953aeaaa14008c92af,How much time remained on the clock when the Broncos made the interception that clinched the AFC Championship Game?,"{'text': ['17 seconds'], 'answer_start': [322]}",17 seconds,17 seconds,True,True,,,,en
56bf36b93aeaaa14008c9561,What team was the divisional round winner between the Broncos and Steelers?,"{'text': ['Broncos'], 'answer_start': [4]}",Pittsburgh Steelers,Broncos,True,False,de,en,de,de
56bf36b93aeaaa14008c9562,What was the final score of the game between the Broncos and Steelers?,"{'text': ['23–16'], 'answer_start': [70]}",23-16,23–16,False,True,,,,en
56bf36b93aeaaa14008c9563,Who won Super Bowl XLIX?,"{'text': ['New England Patriots'], 'answer_start': [192]}",New England Patriots,New England Patriots,True,True,,,,en
56bf36b93aeaaa14008c9564,How many seconds were left in the game when the Broncos intercepted the pass that won the game?,"{'text': ['17'], 'answer_start': [322]}",17 seconds,17,True,True,,,,en
56bf36b93aeaaa14008c9565,"During the Bronco's playoff games, who did not throw at all?","{'text': ['Manning'], 'answer_start': [360]}",Manning,Manning,True,True,,,,en
56d7018a0d65d214001982c2,Who did the Broncos beat in the divisional game?,"{'text': ['Pittsburgh Steelers'], 'answer_start': [25]}",Pittsburgh Steelers,Pittsburgh Steelers,True,True,,,,en
56d7018a0d65d214001982c3,How many points did the Broncos score in the final three minutes of the Pittsburgh game?,"{'text': ['11'], 'answer_start': [88]}",11,11,False,True,,,,en
56d7018a0d65d214001982c5,Who did the Broncos defeat in the AFC Championship game?,"{'text': ['New England Patriots'], 'answer_start': [192]}",New England Patriots,New England Patriots,True,True,,,,en
56d99f99dc89441400fdb628,Who did the Broncos beat to win their division in 2015?,"{'text': ['Pittsburgh Steelers'], 'answer_start': [25]}",Pittsburgh Steelers,Pittsburgh Steelers,True,True,,,,en
56d99f99dc89441400fdb629,Who did the Broncos beat tp become the AFC champions?,"{'text': ['New England Patriots'], 'answer_start': [192]}",New England Patriots,New England Patriots,True,True,,,,en
56d99f99dc89441400fdb62c,How many seconds were left in the game when the Patriots failed their 2-point conversion?,"{'text': ['17'], 'answer_start': [322]}",17,17,False,True,,,,en
56beb86b3aeaaa14008c92bd,How old was Peyton Manning when he played in Super Bowl 50?,"{'text': ['39'], 'answer_start': [172]}",39,39,False,True,,,,en
56beb86b3aeaaa14008c92be,Who previously held the record for being the oldest quarterback to play in a Super Bowl?,"{'text': ['John Elway'], 'answer_start': [204]}",John Elway,John Elway,True,True,,,,en
56beb86b3aeaaa14008c92bf,How old was John Elway when he played in Super Bowl XXXIII?,"{'text': ['38'], 'answer_start': [275]}",38 years old,38,True,True,,,,en
56beb86b3aeaaa14008c92c0,What role does John Elway currently have in the Broncos franchise?,"{'text': ['Executive Vice President of Football Operations and General Manager'], 'answer_start': [304]}",John Elway is currently the Executive Vice President of Football Operations and the General Manager for the Denver Broncos franchise.,Executive Vice President of Football Operations and General Manager,True,False,en,en,en,en
56beb86b3aeaaa14008c92c1,Who did John Elway play for in Super Bowl XXXIII?,"{'text': ['Broncos'], 'answer_start': [228]}",Denver Broncos,Broncos,True,True,,,,en
56bf3fd53aeaaa14008c9591,What team was the winner of Super Bowl XXXIII?,"{'text': ['Broncos'], 'answer_start': [228]}",Denver Broncos,Broncos,True,True,,,,en
56bf3fd53aeaaa14008c9592,Who is the General Manager for the Broncos?,"{'text': ['John Elway'], 'answer_start': [204]}",John Elway,John Elway,True,True,,,,en
56bf3fd53aeaaa14008c9593,How old was Elway during his Super Bowl XXXIII win?,"{'text': ['38'], 'answer_start': [275]}",38,38,False,True,,,,en
56bf3fd53aeaaa14008c9594,Who has the record of being the oldest quarter back in any Super Bowl game?,"{'text': ['Peyton Manning'], 'answer_start': [0]}",John Elway,Peyton Manning,True,False,en,en,en,en
56bf3fd53aeaaa14008c9595,"How many teams has Manning played for that reached the Super Bowl, while he was on their team?","{'text': ['two'], 'answer_start': [57]}",Two teams,two,True,True,,,,en
56d704430d65d214001982de,Peyton Manning took how many different teams to the Super Bowl?,"{'text': ['two'], 'answer_start': [57]}",Two,two,True,True,,,,en
56d704430d65d214001982e0,Who is the oldest quarterback to play in a Super Bowl?,"{'text': ['Peyton Manning'], 'answer_start': [0]}",John Elway,Peyton Manning,True,False,en,en,en,en
56d704430d65d214001982e1,"Prior to Manning, who was the oldest quarterback to play in a Super Bowl?","{'text': ['John Elway'], 'answer_start': [204]}",John Elway,John Elway,True,True,,,,en
56d704430d65d214001982e2,Which Super Bowl did Elway win at 38 years old?,"{'text': ['Super Bowl XXXIII'], 'answer_start': [250]}",Super Bowl XXXIII,Super Bowl XXXIII,True,True,,,,en
56d9a0eadc89441400fdb63e,Who was the first quarterback to take two teams to more than one Super Bowl?,"{'text': ['Peyton Manning'], 'answer_start': [0]}",Peyton Manning,Peyton Manning,True,True,,,,en
56d9a0eadc89441400fdb63f,How old was Manning when he played Super Bowl 50?,"{'text': ['39'], 'answer_start': [172]}",39 years old,39,True,True,,,,en
56d9a0eadc89441400fdb640,What is the name of the quarterback who was 38 in Super Bowl XXXIII?,"{'text': ['John Elway'], 'answer_start': [204]}",John Elway,John Elway,True,True,,,,en
56bec6ac3aeaaa14008c93fd,How many Grammys has Lady Gaga won?,"{'text': ['Six'], 'answer_start': [0]}",Six,Six,True,True,,,,en
56bec6ac3aeaaa14008c93fe,What did Lady Gaga sing?,"{'text': ['the national anthem'], 'answer_start': [69]}",National Anthem,the national anthem,True,False,en,en,en,en
56bec6ac3aeaaa14008c93ff,What award has Marlee Matlin won?,"{'text': ['Academy Award'], 'answer_start': [27]}",Academy Award,Academy Award,True,True,,,,en
56bec6ac3aeaaa14008c9400,What did Marlee Matlin translate?,"{'text': ['the national anthem'], 'answer_start': [69]}",American Sign Language,the national anthem,True,False,en,en,en,en
56bec6ac3aeaaa14008c9401,Into what language did Marlee Matlin translate the national anthem?,"{'text': ['American Sign Language'], 'answer_start': [140]}",American Sign Language (ASL),American Sign Language,True,True,,,,en
56d20650e7d4791d00902614,Who sang the national anthem?,"{'text': ['Lady Gaga'], 'answer_start': [49]}",Lady Gaga,Lady Gaga,True,True,,,,en
56d20650e7d4791d00902615,What actress did the ASL translation for the game?,"{'text': ['Marlee Matlin'], 'answer_start': [117]}",Marlee Matlin,Marlee Matlin,True,True,,,,en
56d7253b0d65d214001983d4,Who did the National Anthem at Super Bowl 50?,"{'text': ['Lady Gaga'], 'answer_start': [49]}",Lady Gaga,Lady Gaga,True,True,,,,en
