Subject,Accuracy,Total Examples,Correct Examples
Overall,0.3705179282868526,251,93
id,0.0,1,0
college_physics,0.2,5,1
anatomy,0.5,2,1
high_school_statistics,0.2,5,1
miscellaneous,0.6666666666666666,9,6
prehistory,0.42857142857142855,7,3
security_studies,0.8,5,4
conceptual_physics,0.3333333333333333,3,1
marketing,0.5714285714285714,7,4
professional_law,0.19047619047619047,21,4
jurisprudence,0.25,4,1
moral_scenarios,0.4,15,6
public_relations,0.0,4,0
management,0.0,2,0
professional_psychology,0.2727272727272727,11,3
high_school_psychology,0.4166666666666667,12,5
high_school_us_history,0.0,4,0
us_foreign_policy,0.6666666666666666,3,2
business_ethics,0.5,2,1
high_school_european_history,0.5,4,2
high_school_chemistry,0.5,6,3
high_school_macroeconomics,0.42857142857142855,7,3
moral_disputes,0.16666666666666666,6,1
high_school_computer_science,0.5,2,1
professional_medicine,0.14285714285714285,7,1
elementary_mathematics,0.8333333333333334,6,5
high_school_mathematics,0.5,2,1
virology,0.5,2,1
college_biology,1.0,4,4
sociology,0.6,5,3
high_school_government_and_politics,0.5,2,1
human_aging,0.6666666666666666,3,2
nutrition,0.0,4,0
college_medicine,0.0,4,0
philosophy,0.375,8,3
machine_learning,0.3333333333333333,3,1
world_religions,0.5,4,2
electrical_engineering,0.5,6,3
medical_genetics,0.5,2,1
high_school_world_history,0.6666666666666666,3,2
high_school_physics,0.5,2,1
high_school_geography,0.0,1,0
astronomy,0.0,2,0
college_computer_science,0.0,3,0
global_facts,1.0,1,1
human_sexuality,1.0,2,2
high_school_biology,0.6666666666666666,3,2
logical_fallacies,0.6666666666666666,3,2
high_school_microeconomics,0.25,4,1
college_chemistry,0.0,1,0
professional_accounting,0.0,7,0
international_law,0.0,1,0
clinical_knowledge,0.25,4,1
formal_logic,0.0,3,0
abstract_algebra,0.0,2,0
