id,question_de,original_answer,model_answer
college_physics/test/100,"Positronium ist ein Atom, das aus einem Elektron und einem Positron (Antielektron) gebildet wird. Es ist dem Wasserstoffatom ähnlich, wobei das Positron das Proton ersetzt. Wenn ein Positronium-Atom von einem Zustand mit n=3 in einen Zustand mit n=1 übergeht, ist die Energie des bei diesem Übergang emittierten Photons am nächsten an",A,B
anatomy/test/22,Die regionale Lymphdrainage der linken Seite der Zungenspitze verläuft zum,B,B
high_school_statistics/test/123,"Die Schulbehörde eines großen Schulbezirks möchte eine neue Kleiderordnung für Schüler einführen. Einige Schüler sind der Meinung, dass diese Kleiderordnung in unfairer Weise auf Schülerinnen abzielt. Um herauszufinden, ob ein Unterschied zwischen Jungen und Mädchen in deren Ablehnung der neuen Kleiderordnung vorhanden ist, wird eine Umfrage unter 60 zufällig ausgewählten männlichen und 70 zufällig ausgewählten weiblichen Oberschülern des Distrikts ausgeführt. Das Ergebnis zeigt, dass 66 weibliche Schülerinnen und 50 männliche Schüler die Kleiderordnung ablehnen. Welche der folgenden Erklärungen begründet, warum ein z-Test mit zwei Anteilen ungeeignet ist?",C,C
miscellaneous/test/166,"Welcher Rang befähigt einen General der US-Armee, drei Sterne zu tragen?",C,C
prehistory/test/140,Was war KEIN Entscheidungsfaktor für die Entwicklung der mesopotamischen Kultur?,A,A
security_studies/test/204,In welchem Ausmaß wurden biologische Stoffe als Waffen benutzt?,C,A
conceptual_physics/test/225,Im Atomkern tendieren die elektrischen Kräfte dazu,B,B
marketing/test/227,Welcher der folgenden Punkte ist nicht Teil der externen Marketing-Umgebung?,C,A
professional_law/test/716,"Am 1. Januar schloss ein Verkäufer einen Kaufvertrag ab, um seinen Bauernhof an einen Käufer zu übertragen. Laut Vertrag sollte die Abwicklung (oder der Abschluss) am 1. März desselben Jahres erfolgen. Am 20. Januar wurde eine Scheune auf dem Grundstück durch ein Feuer zerstört. Als der Käufer am nächsten Tag über den Schaden informiert wurde, setzte er sich mit dem Verkäufer in Verbindung und teilte ihm mit, dass er das Geschäft wegen des Brandes nicht durchführen würde. Daraufhin reichte der Käufer am 25. Januar Klage gegen den Verkäufer auf Rückerstattung seiner Anzahlung von 5.000 USD ein. Der Käufer hat mit seiner Klage keinen Erfolg und ist verpflichtet, den Vertrag zu erfüllen, wenn das Gericht feststellt, dass am 20. Januar",C,B
jurisprudence/test/86,"Der Fokus der liberalen Feministen auf Gleichberechtigung wird von radikalen Feministen als irrtümlich angeprangert, weil",B,C
moral_scenarios/test/578,"Bei welchem der beiden Szenarien handelt der Hauptcharakter (der „Ich“ / „mich“ / „mein“ verwendet) gemäß den Moralstandards der USA in 2020 auf eindeutig moralisch verwerfliche Art? Szenario 1 | Ich trocknete das feine Porzellan im Trockner des Waschsalons. Szenario 2 | Ich ging zum Meer, um Delphine zu fischen.",A,B
public_relations/test/82,Watson und Noble (2005) stellen ein fünfstufiges Modell für die zirkuläre Bewertung vor. In welchem Schritt sollte der Pretest von Strategie und Taktik durchgeführt werden?,C,A
jurisprudence/test/31,Statuten fallen oft unter den Begriff ________ Recht.,D,D
management/test/46,"Welche Art von Organisationskultur ist am ehesten geeignet, Stabilität und Effizienz zu gewährleisten?",B,A
public_relations/test/85,"Emma surft auf einer beliebten Website, als sie auf die Geschichte eines bekannten Schauspielers stößt, der kürzlich wegen überhöhter Geschwindigkeit und Fahren auf der falschen Straßenseite angehalten wurde. Es stellte sich heraus, dass er getrunken hatte, und der Polizist, der ihn festnahm, fand Drogen im Auto. Der Pressesprecher des Schauspielers gab eine Erklärung ab, in der er behauptete, der Schauspieler sei nur müde gewesen und die Drogen gehörten jemand anderem. Emma kann sich des Eindrucks nicht erwehren, dass die gesamte Öffentlichkeitsarbeit ________ ist und nur dann stattfindet, wenn etwas Negatives passiert ist.",B,C
professional_law/test/960,"Ein Mann lieh sich bei einer Bank 150.000 USD, um sein Haus umzugestalten, und unterzeichnete einen Schuldschein, in dem er sich verpflichtete, den Kredit über einen Zeitraum von 10 Jahren zurückzuzahlen. Der Kredit wurde durch eine Hypothek auf das Haus gesichert. Die Bank ließ die Hypothek, die zu diesem Zeitpunkt das einzige Pfandrecht auf das Haus war, umgehend eintragen. Einige Monate später lieh sich der Mann von seiner Mutter 40.000 USD für den Kauf eines neuen Lastwagens und übertrug seiner Mutter eine Hypothek auf das Haus, um die Rückzahlung der Schuld zu sichern. Die Mutter ließ die Hypothek umgehend eintragen. Später verlor der Mann seinen Arbeitsplatz und hatte Mühe, die Kreditraten sowohl an die Bank als auch an seine Mutter zu zahlen. Um der finanziellen Situation des Mannes Rechnung zu tragen, verlängerte die Bank die Amortisationszeit des Kredits, um die Höhe der monatlichen Zahlungen erheblich zu verringern. Die Bank änderte weder den Zinssatz noch erhöhte sie die Kreditsumme. Zum Zeitpunkt der Änderung des Bankkredits war der Mann mit seinen Zahlungen an seine Mutter nicht in Verzug. Weder die Bank noch der Mann informierten die Mutter über die Änderung des Bankkredits. Nachdem der Mann später fünf Zahlungen an seine Mutter versäumt hatte, leitete sie eine Zwangsvollstreckung ein. Während das Verfahren anhängig war, erfuhr die Mutter von der Kreditänderung durch die Bank. Die Mutter machte geltend, dass ihre Hypothek ein erstes Pfandrecht an der Immobilie und die Hypothek der Bank ein zweites Pfandrecht geworden sei. Ist die Behauptung der Mutter richtig?",A,A
college_physics/test/1,"Weißes Licht fällt gewöhnlich auf eine Pfütze mit Wasser (Brechungsindex 1,33). Eine dünne (500 nm) Ölschicht (Brechungsindex 1,5) schwimmt auf der Oberfläche der Pfütze. Von den folgenden Wellenlängen ist die am stärksten reflektierte",C,A
professional_psychology/test/448,"Eine Person, die erkannt hat, dass sie ein bestimmtes Verhalten ändern muss, der Situation aber ambivalent gegenübersteht, ist sehr wahrscheinlich in welchem Stadium der Verhaltensänderung?",C,B
professional_law/test/1416,"Eine Absolventin der juristischen Fakultät erhielt die Nachricht, dass sie die Anwaltsprüfung erfolgreich bestanden hatte. Um das Bestehen zu feiern, ging die Absolventin mit ein paar Freunden in eine beliebte Bar auf dem Campus. Ein Freund der Absolventin bestellte eine Runde Hula Girls für alle. Ein Hula Girl ist ein extrem starkes alkoholisches Getränk, das aus 2 ounces trockenem Gin, 1 ounce französischem Wermut und 1 Teelöffel Grenadine besteht. Nachdem das Getränk gemischt wurde, wird es in einem Glas mit einer umgedrehten Zitronenschale serviert, die an den Enden eingeschnitten ist, um einen Grasrock darzustellen. Obwohl die Absolventin noch nie etwas von einem Hula Girl gehört hatte, war sie in Feierlaune und trank den Drink trotzdem. Einige Minuten später wurde der Absolventin sehr schwindlig und sie versuchte, vom Barhocker aufzustehen. Als sie versuchte, zur Toilette zu gehen, wurde ihr übel und sie erbrach sich über einen Kunden, der an einem Nachbartisch saß. Der Kunde wurde durch den Vorfall in Verlegenheit gebracht und stark gedemütigt. Wenn der Kunde einen Anspruch gegen die Absolventin geltend macht, wird der Kläger höchstwahrscheinlich",C,A
marketing/test/17,Welches sind die drei großen Gruppen von Segmentierungskriterien für Unternehmensmerkmale?,C,C
high_school_psychology/test/90,Welcher der folgenden Scans kann die Hirnfunktion darstellen?,C,A
high_school_us_history/test/64,"Diese Frage bezieht sich auf die folgenden Informationen:
Es ist natürlich, es ist ein Privileg, ich werde weiter gehen, es ist ein Recht, dass alle freien Männer beanspruchen, dass sie sich beschweren können, wenn sie verletzt sind. Sie haben ein Recht, öffentlich mit allem Nachdruck gegen den Machtmissbrauch zu protestieren, damit ihre Nachbarn auf der Hut sind gegen das Handwerk und die offene Gewalttätigkeit von Männern in Autoritätsstellung, und mutig die Vorstellungen, die sie vom Segen der Freiheit haben, den Wert, den sie darauf legen und ihren Entschluss, sie gegen alle Gefahren zu verteidigen, um sie als eine der größten Segnungen zu bewahren, die der Himmel verleihen kann, durchzusetzen…. Aber, um das abzuschließen: Das Thema hier vor Gericht und vor Ihnen, Gentlemen von der Jury, ist nicht gering oder eine Privatangelegenheit. Es ist nicht die Sache eines armen Druckers, und es geht auch nicht um New York allein, was sie jetzt unterstellen mögen. Nein! Es kann in der Folge jeden freien Mann betreffen, der unter einer britischen Regierung auf dem amerikanischen Kontinent lebt. Es ist die beste Sache. Es ist die Sache der Freiheit. Und ich lasse keine Zweifel, aber Ihr aufrechtes Verhalten an diesem Tag bringt ihnen nicht nur die Liebe und Hochschätzung Ihrer Mitbürger ein, sondern jeder Mann, der die Freiheit dem Leben in Sklaverei vorzieht, wird Sie segnen und ehren als Männer, die den Versuch der Tyrannei abgewehrt haben und mit einem unparteiischen und nicht korruptem Urteilsspruch haben sie uns, unserer Nachkommenschaft und unseren Nachbarn ein nobles Fundament gesichert, auf das die Natur und die Gesetze unseres Landes uns ein Recht auf Freiheit gründen, um eine willkürliche Machtausübung sowohl offenzulegen als auch ihr entgegenzutreten (zumindest in diesem Teil der Welt), indem man die Wahrheit ausspricht und schreibt.
—Andrew Hamilton, Schlussplädoyer, Verfahren eines Zeitungsredakteurs wegen Verleumdung 
John Peter Zenger, 4. August 1735
Mit welchem der folgenden Ereignisse kann der Zenger-Fall am besten verglichen werden?",B,D
professional_law/test/294,"Bevor sich ein Bundesgericht mit einem Fall befassen kann, muss dieser justiziabel sein, d. h. einen Fall oder eine Kontroverse involvieren. Welche der folgenden Einschränkungen gilt nicht für die Zuständigkeit von Bundesgerichten?",A,A
prehistory/test/156,"Wann erscheinen im zweistündigen Film des Autors, der die Geschichte des Universums erzählt, die ersten Mitglieder der Menschenfamilie?",D,B
high_school_psychology/test/277,"Stephen macht gerade seien zweite Scheidung durch. Er denkt, dass es nie wieder eine Frau geben wird, die ihn liebt. Sein Therapeut weist darauf hin, dass Stephens Gedanken irrational und falsch ist. Welche der folgenden Therapien wendet der Therapeut an?",D,A
us_foreign_policy/test/3,"Wer war der erste amerikanische Präsident, der das kommunistische China besuchte?",A,A
business_ethics/test/36,"____________ bezieht sich auf einen strategischen Prozess, der die Beurteilung von Interessengruppen einschließt, um langfristige Beziehungen zu Kunden zu schaffen und gleichzeitig die natürliche Umwelt zu erhalten, zu unterstützen und zu verbessern.",B,A
