id,question_de,original_answer,model_answer,extracted_original_answer,has_letters,is_substring,langdetect_code,hf_lang_code,spacy_lang_code,majority_code
56beb4343aeaaa14008c925b,Wie viele Punkte gab die Verteidigung der Panthers ab?,"{'text': ['308'], 'answer_start': [38]}",308 Punkte,308,True,True,,,,de
56beb4343aeaaa14008c925c,Wie viele Sacks erzielte Jared Allen in seiner Karriere?,"{'text': ['136'], 'answer_start': [527]}",136,136,False,True,,,,de
56beb4343aeaaa14008c925d,Wie viele Tackles wurden bei Luke Kuechly registriert?,"{'text': ['118'], 'answer_start': [921]}",Luke Kuechly gab 118 Tackles ab.,118,True,True,,,,de
56beb4343aeaaa14008c925e,Wie viele Bälle fing Josh Norman ab?,"{'text': ['vier'], 'answer_start': [179]}",4,vier,False,False,,,,de
56beb4343aeaaa14008c925f,Wer hatte in dieser Saison die meisten Sacks im Team?,"{'text': ['Kawann Short'], 'answer_start': [246]}",Jared Allen,Kawann Short,True,False,sv,en,en,en
56d6f3500d65d21400198290,Wie viele Interceptions wurden der Verteidigung der Panthers im Jahr 2015 angerechnet?,"{'text': ['24'], 'answer_start': [120]}",24,24,False,True,,,,de
56d6f3500d65d21400198291,Wer führte die Panther bei den Sacks an?,"{'text': ['Kawann Short'], 'answer_start': [246]}",Kawann Short,Kawann Short,True,True,,,,de
56d6f3500d65d21400198292,Wie viele Verteidigungsspieler der Panthers wurden für den Pro Bowl ausgewählt?,"{'text': ['vier'], 'answer_start': [179]}","Kurzweil, Coleman, Normann",vier,True,False,de,de,de,de
56d6f3500d65d21400198293,Wie viele erzwungene Fumbles hatte Thomas Davis?,"{'text': ['vier'], 'answer_start': [179]}",Fünf,vier,True,False,de,de,de,de
56d6f3500d65d21400198294,Welcher Spieler hatte die meisten Interceptions der Saison?,"{'text': ['Kurt Coleman'], 'answer_start': [1026]}",Kurt Coleman,Kurt Coleman,True,True,,,,de
56d9992fdc89441400fdb59c,Wie viele Interceptions erzielte die Verteidigung der Panthers in der Saison 2015?,"{'text': ['24'], 'answer_start': [120]}",24,24,False,True,,,,de
56d9992fdc89441400fdb59e,Wer erzielte als Carolina Panthers-Starter fünf Sacks in neun Spielen?,"{'text': ['Kony Ealy'], 'answer_start': [622]}",Jared Allen,Kony Ealy,True,False,sv,en,sv,sv
56d9992fdc89441400fdb59f,Wer führte die Panthers 2015 bei den Tackles an?,"{'text': ['Luke Kuechly.'], 'answer_start': [783]}",Kurt Coleman,Luke Kuechly.,True,False,fr,ur,fr,fr
56d9992fdc89441400fdb5a0,Mit wie vielen Interceptions erzielte Josh Norman im Jahr 2015 Touchdowns?,"{'text': ['zwei'], 'answer_start': [332]}",2,zwei,False,False,,,,de
56beb7953aeaaa14008c92ab,Wer verlor in der Divisional Round gegen die Broncos?,"{'text': ['die Pittsburgh Steelers'], 'answer_start': [22]}",New England Patriots,die Pittsburgh Steelers,True,False,en,en,en,en
56beb7953aeaaa14008c92ac,Wie viele Punkte erzielten die Broncos in den letzten drei Minuten des Spiels gegen Pittsburgh?,"{'text': ['11'], 'answer_start': [127]}",11 Punkte,11,True,True,,,,de
56beb7953aeaaa14008c92ad,Wer gewann den Super Bowl XLIX?,"{'text': ['New England Patriots'], 'answer_start': [246]}",New England Patriots,New England Patriots,True,True,,,,de
