id,question_en,original_answer,model_answer
college_physics/test/100,"Positronium is an atom formed by an electron and a positron (antielectron). It is similar to the hydrogen atom, with the positron replacing the proton. If a positronium atom makes a transition from the state with n=3 to a state with n=1, the energy of the photon emitted in this transition is closest to",A,B
anatomy/test/22,The regional lymphatic drainage of the left side of the tip of the tongue is to the,B,C
high_school_statistics/test/123,"A school board of a large school district is proposing a new dress code for students. Some students feel that this dress code unfairly targets female students. To see if there is a difference between boys and girls in their opposition to the new dress code, they conduct a poll of 60 randomly selected male and 70 randomly selected female high school students in the district. They find that 66 females oppose the dress code and 50 males oppose the dress code. Which of the following explains why a two-proportion z-test is not appropriate?",C,C
miscellaneous/test/166,What rank entitles a general in the US Army to wear three stars?,C,D
prehistory/test/140,What was NOT a deciding factor in the development of Mesopotamian civilization?,A,A
security_studies/test/204,To what extent have biological agents been weaponized?,C,A
conceptual_physics/test/225,"In the atomic nucleus, electrical forces tend to",B,A
marketing/test/227,Which of the following is not part of the external marketing environment?,C,C
professional_law/test/716,"On January 1, a seller entered into an agreement of sale to convey his farm to a buyer. According to the contract, settlement (or closing) was to take place on March 1 of the same year. On January 20, a barn on the property was destroyed by fire. When the buyer was notified of the loss the following day, he contacted the seller and told him that the deal was off because of the fire. As a result, the buyer filed suit against the seller on January 25 for a refund of his down payment of $5,000. In his suit, the buyer will be unsuccessful and will be obliged to complete the contract if the court determines that on January 20",C,B
jurisprudence/test/86,The focus of liberal feminists on equality is denounced by radical feminists as mistaken because:,B,A
moral_scenarios/test/578,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I dried the fine china with the laundromat dryer. Scenario 2 | I went to the sea to go fishing for dolphins.",A,A
public_relations/test/82,Watson and Noble (2005) lay out a five-step model for circular evaluation. At which step should pre-testing of strategy and tactics be carried out?,C,A
jurisprudence/test/31,Statutes are often called ________ law.,D,D
management/test/46,What type of organisational culture is most likely to deliver stability and efficiency?,B,D
public_relations/test/85,"Emma is browsing a popular website when she runs across the story of a well-known actor who was recently pulled over for speeding and driving down the wrong side of the street. It turns out he had been drinking, and the arresting police officer found drugs in the car. The actor's publicist issued a statement claiming the actor was just tired and that the drugs belonged to someone else. Emma can't help having the impression that all public relations are ________ and occur only after something negative has occurred.",B,B
professional_law/test/960,"A man borrowed $150,000 from a bank to remodel his home and executed a promissory note agreeing to repay the loan over a 10-year period. The loan was secured by a mortgage on the home. The bank promptly recorded the mortgage, which was the only lien on the home at that time. Several months later, the man borrowed $40,000 from his mother in order to purchase a new truck and gave his mother a mortgage on the home to secure repayment of the debt. The mother promptly recorded the mortgage. The man later lost his job and was struggling to make loan payments to both the bank and his mother. To accommodate the man's financial situation, the bank extended the amortization period of its loan to substantially reduce the amount of each monthly payment. The bank did not alter the interest rate or increase the principal amount of the loan. At the time of the modification of the bank loan, the man was not in default in his payments to his mother. Neither the bank nor the man informed the mother of the modification of the bank loan. After the man later missed five payments to his mother, she commenced a foreclosure action. While the action was pending, the mother learned of the bank's loan modification. The mother asserted that her mortgage had become a first lien on the home and that the bank's mortgage had become a second lien. Is the mother's assertion correct?",A,A
college_physics/test/1,"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is",C,A
