Subject,Accuracy,Total Examples,Correct Examples
Overall,0.3426294820717131,251,86
id,0.0,1,0
college_physics,0.2,5,1
anatomy,0.5,2,1
high_school_statistics,0.2,5,1
miscellaneous,0.8888888888888888,9,8
prehistory,0.5714285714285714,7,4
security_studies,0.6,5,3
conceptual_physics,0.3333333333333333,3,1
marketing,0.5714285714285714,7,4
professional_law,0.23809523809523808,21,5
jurisprudence,0.5,4,2
moral_scenarios,0.26666666666666666,15,4
public_relations,0.0,4,0
management,0.0,2,0
professional_psychology,0.45454545454545453,11,5
high_school_psychology,0.3333333333333333,12,4
high_school_us_history,0.0,4,0
us_foreign_policy,0.3333333333333333,3,1
business_ethics,0.5,2,1
high_school_european_history,0.25,4,1
high_school_chemistry,0.3333333333333333,6,2
high_school_macroeconomics,0.2857142857142857,7,2
moral_disputes,0.3333333333333333,6,2
high_school_computer_science,0.5,2,1
professional_medicine,0.0,7,0
elementary_mathematics,0.5,6,3
high_school_mathematics,0.5,2,1
virology,0.0,2,0
college_biology,1.0,4,4
sociology,0.4,5,2
high_school_government_and_politics,0.5,2,1
human_aging,1.0,3,3
nutrition,0.0,4,0
college_medicine,0.25,4,1
philosophy,0.375,8,3
machine_learning,0.0,3,0
world_religions,0.25,4,1
electrical_engineering,0.5,6,3
medical_genetics,0.5,2,1
high_school_world_history,1.0,3,3
high_school_physics,0.5,2,1
high_school_geography,0.0,1,0
astronomy,0.0,2,0
college_computer_science,0.0,3,0
global_facts,1.0,1,1
human_sexuality,0.5,2,1
high_school_biology,0.6666666666666666,3,2
logical_fallacies,0.6666666666666666,3,2
high_school_microeconomics,0.0,4,0
college_chemistry,0.0,1,0
professional_accounting,0.0,7,0
international_law,0.0,1,0
clinical_knowledge,0.0,4,0
formal_logic,0.0,3,0
abstract_algebra,0.0,2,0
